study_accession	sample_accession	secondary_sample_accession	run_accession	sample_title
PRJEB13747	SAMEA3943233	ERS1130367	ERR1382612	Plate35.2
PRJEB13747	SAMEA3944844	ERS1131978	ERR1382613	Plate17.9
PRJEB13747	SAMEA3944420	ERS1131554	ERR1382614	Plate11.66
PRJEB13747	SAMEA3944460	ERS1131594	ERR1382615	Plate12.45
PRJEB13747	SAMEA3944332	ERS1131466	ERR1382616	Low2.64
PRJEB13747	SAMEA3944406	ERS1131540	ERR1382617	Plate10.35
PRJEB13747	SAMEA3944514	ERS1131648	ERR1382618	Plate13.28
PRJEB13747	SAMEA3944258	ERS1131392	ERR1382619	Low1.20
PRJEB13747	SAMEA3943235	ERS1130369	ERR1382620	Plate35.34
PRJEB13747	SAMEA3944006	ERS1131140	ERR1382621	Plate41.13
PRJEB13747	SAMEA3943141	ERS1130275	ERR1382622	Plate34.2.78
PRJEB13747	SAMEA3943262	ERS1130396	ERR1382623	Plate36.39
PRJEB13747	SAMEA3944259	ERS1131393	ERR1382624	Low1.17
PRJEB13747	SAMEA3946381	ERS1133515	ERR1382625	PlateRedo1.87
PRJEB13747	SAMEA3944945	ERS1132079	ERR1382626	Plate19.63
PRJEB13747	SAMEA3944335	ERS1131469	ERR1382627	Low2.91
PRJEB13747	SAMEA3944982	ERS1132116	ERR1382628	Plate20.31
PRJEB13747	SAMEA3943839	ERS1130973	ERR1382629	Plate38.82
PRJEB13747	SAMEA3944465	ERS1131599	ERR1382630	Plate12.21
PRJEB13747	SAMEA3946279	ERS1133413	ERR1382631	Plate8.27
PRJEB13747	SAMEA3944611	ERS1131745	ERR1382632	Plate14.18
PRJEB13747	SAMEA3945958	ERS1133092	ERR1382633	Plate34.37
PRJEB13747	SAMEA3944062	ERS1131196	ERR1382634	High1.54
PRJEB13747	SAMEA3944919	ERS1132053	ERR1382635	Plate18.13
PRJEB13747	SAMEA3945298	ERS1132432	ERR1382636	Plate24.82
PRJEB13747	SAMEA3943696	ERS1130830	ERR1382637	Plate46.76
PRJEB13747	SAMEA3943133	ERS1130267	ERR1382638	Plate34.2.68
PRJEB13747	SAMEA3945349	ERS1132483	ERR1382639	Plate25.23
PRJEB13747	SAMEA3945462	ERS1132596	ERR1382640	Plate26.76
PRJEB13747	SAMEA3946392	ERS1133526	ERR1382641	PlateRedo3.4
PRJEB13747	SAMEA3946138	ERS1133272	ERR1382642	Plate6.35
PRJEB13747	SAMEA3943337	ERS1130471	ERR1382643	Plate37.66
PRJEB13747	SAMEA3943728	ERS1130862	ERR1382644	Plate46.84
PRJEB13747	SAMEA3943129	ERS1130263	ERR1382645	Plate34.2.79
PRJEB13747	SAMEA3944767	ERS1131901	ERR1382646	Plate16.74
PRJEB13747	SAMEA3945612	ERS1132746	ERR1382647	Plate29.47
PRJEB13747	SAMEA3945347	ERS1132481	ERR1382648	Plate25.13
PRJEB13747	SAMEA3946243	ERS1133377	ERR1382649	Plate8.18
